country,year,month,value
Belize,2025,March,15
Belize,2025,April,25
Belize,2025,May,45
Belize,2025,June,15
Belize,2025,July,30
Belize,2025,August,30
Belize,2025,September,15
Belize,2025,October,20
Belize,2025,November,30
Belize,2025,December,35
Belize,2025,Total,300
Belize,2026,January,25
Belize,2026,February,40
Belize,2026,March,50
Belize,2026,April,40
Belize,2026,May,30
Belize,2026,Total,185
Bhutan,2023,January,10
Bhutan,2023,February,15
Bhutan,2023,March,15
Bhutan,2023,April,15
Bhutan,2023,May,5
Bhutan,2023,June,30
Bhutan,2023,July,25
Bhutan,2023,August,20
Bhutan,2023,September,15
Bhutan,2023,October,15
Bhutan,2023,November,20
Bhutan,2023,December,15
Bhutan,2023,Total,200
Bhutan,2024,January,15
Bhutan,2024,February,10
Bhutan,2024,March,20
Bhutan,2024,April,10
Bhutan,2024,May,30
Bhutan,2024,June,25
Bhutan,2024,July,20
Bhutan,2024,August,10
Bhutan,2024,September,20
Bhutan,2024,October,15
Bhutan,2024,November,25
Bhutan,2024,December,20
Bhutan,2024,Total,220
Bhutan,2025,January,15
Bhutan,2025,February,25
Bhutan,2025,March,25
Bhutan,2025,April,15
Bhutan,2025,May,15
Bhutan,2025,June,20
Bhutan,2025,July,30
Bhutan,2025,August,20
Bhutan,2025,September,15
Bhutan,2025,October,35
Bhutan,2025,November,15
Bhutan,2025,December,15
Bhutan,2025,Total,250
Bhutan,2026,January,20
Bhutan,2026,February,25
Bhutan,2026,March,20
Bhutan,2026,April,40
Bhutan,2026,May,35
Bhutan,2026,Total,140
Bolivia,2023,January,80
Bolivia,2023,February,65
Bolivia,2023,March,70
Bolivia,2023,April,75
Bolivia,2023,May,215
Bolivia,2023,June,130
Bolivia,2023,July,115
Bolivia,2023,August,150
Bolivia,2023,September,110
Bolivia,2023,October,50
Bolivia,2023,November,75
Bolivia,2023,December,65
Bolivia,2023,Total,1200
Bolivia,2024,January,70
Bolivia,2024,February,100
Bolivia,2024,March,100
Bolivia,2024,April,190
Bolivia,2024,May,140
Bolivia,2024,June,105
Bolivia,2024,July,135
Bolivia,2024,August,145
Bolivia,2024,September,75
Bolivia,2024,October,155
Bolivia,2024,November,110
Bolivia,2024,December,100
Bolivia,2024,Total,1425
Bolivia,2025,January,135
Bolivia,2025,February,70
Bolivia,2025,March,105
Bolivia,2025,April,75
Bolivia,2025,May,120
Bolivia,2025,June,75
Bolivia,2025,July,90
Bolivia,2025,August,70
Bolivia,2025,September,50
Bolivia,2025,October,50
Bolivia,2025,November,50
Bolivia,2025,December,65
Bolivia,2025,Total,965
Bolivia,2026,January,45
Bolivia,2026,February,75
Bolivia,2026,March,85
Bolivia,2026,April,90
Bolivia,2026,May,90
Bolivia,2026,Total,385
Bosnia-Hercegovina,2023,January,35
Bosnia-Hercegovina,2023,February,25
Bosnia-Hercegovina,2023,March,20
Bosnia-Hercegovina,2023,April,25
Bosnia-Hercegovina,2023,May,95
Bosnia-Hercegovina,2023,June,45
Bosnia-Hercegovina,2023,July,55
Bosnia-Hercegovina,2023,August,40
Bosnia-Hercegovina,2023,September,20
Bosnia-Hercegovina,2023,October,15
Bosnia-Hercegovina,2023,November,20
Bosnia-Hercegovina,2023,December,30
Bosnia-Hercegovina,2023,Total,440
Bosnia-Hercegovina,2024,January,15
Bosnia-Hercegovina,2024,February,35
Bosnia-Hercegovina,2024,March,30
Bosnia-Hercegovina,2024,April,40
Bosnia-Hercegovina,2024,May,20
Bosnia-Hercegovina,2024,June,20
Bosnia-Hercegovina,2024,July,25
Bosnia-Hercegovina,2024,August,10
Bosnia-Hercegovina,2024,September,15
Bosnia-Hercegovina,2024,October,10
Bosnia-Hercegovina,2024,November,15
Bosnia-Hercegovina,2024,December,10
Bosnia-Hercegovina,2024,Total,250
Bosnia-Hercegovina,2025,January,10
Bosnia-Hercegovina,2025,February,15
Bosnia-Hercegovina,2025,March,35
Bosnia-Hercegovina,2025,April,45
Bosnia-Hercegovina,2025,May,60
Bosnia-Hercegovina,2025,June,70
Bosnia-Hercegovina,2025,July,85
Bosnia-Hercegovina,2025,August,25
Bosnia-Hercegovina,2025,September,35
Bosnia-Hercegovina,2025,October,35
Bosnia-Hercegovina,2025,November,20
Bosnia-Hercegovina,2025,December,35
Bosnia-Hercegovina,2025,Total,465
Bosnia-Hercegovina,2026,January,30
Bosnia-Hercegovina,2026,February,35
Bosnia-Hercegovina,2026,March,45
Bosnia-Hercegovina,2026,April,60
Bosnia-Hercegovina,2026,May,275
Bosnia-Hercegovina,2026,Total,445
"Botswana, Republic of",2023,January,
"Botswana, Republic of",2023,February,10
"Botswana, Republic of",2023,March,
"Botswana, Republic of",2023,April,30
"Botswana, Republic of",2023,May,45
"Botswana, Republic of",2023,June,20
"Botswana, Republic of",2023,July,5
"Botswana, Republic of",2023,August,10
"Botswana, Republic of",2023,September,15
"Botswana, Republic of",2023,October,
"Botswana, Republic of",2023,November,15
"Botswana, Republic of",2023,December,15
"Botswana, Republic of",2023,Total,175
"Botswana, Republic of",2024,January,40
"Botswana, Republic of",2024,February,5
"Botswana, Republic of",2024,March,5
"Botswana, Republic of",2024,April,10
"Botswana, Republic of",2024,May,20
"Botswana, Republic of",2024,June,20
"Botswana, Republic of",2024,July,15
"Botswana, Republic of",2024,August,5
"Botswana, Republic of",2024,September,10
"Botswana, Republic of",2024,October,
"Botswana, Republic of",2024,November,10
"Botswana, Republic of",2024,December,5
"Botswana, Republic of",2024,Total,155
"Botswana, Republic of",2025,January,
"Botswana, Republic of",2025,February,15
"Botswana, Republic of",2025,March,15
"Botswana, Republic of",2025,April,
"Botswana, Republic of",2025,May,
"Botswana, Republic of",2025,June,15
"Botswana, Republic of",2025,July,15
"Botswana, Republic of",2025,August,15
"Botswana, Republic of",2025,September,15
"Botswana, Republic of",2025,October,
"Botswana, Republic of",2025,November,5
"Botswana, Republic of",2025,December,
"Botswana, Republic of",2025,Total,105
"Botswana, Republic of",2026,January,
"Botswana, Republic of",2026,February,5
"Botswana, Republic of",2026,March,5
"Botswana, Republic of",2026,April,
"Botswana, Republic of",2026,May,10
"Botswana, Republic of",2026,Total,30
Brazil,2023,January,1130
Brazil,2023,February,865
Brazil,2023,March,1425
Brazil,2023,April,995
Brazil,2023,May,1305
Brazil,2023,June,1525
Brazil,2023,July,1210
Brazil,2023,August,1120
Brazil,2023,September,1045
